x,y
290.52965568891995,295.56029185867897
290.2580470386548,304.1165347932494
289.4443147600315,312.63832475739497
288.09173546573413,321.09134751064266
286.20575551519664,329.44156571380694
283.79396908403476,337.6553559853411
280.86608758498187,345.6996442908278
277.4339005634572,353.54203912044215
273.51122822522734,361.15096191812984
269.1138657873155,368.4957742373064
264.2595198762376,375.5469011110683
258.9677372296664,382.2759501401461
253.25982598861788,388.6558258190757
247.15876989708806,394.6608386402354
240.68913575462778,400.2668085364262
233.8769744945117,405.45116224546837
226.74971628582443,410.1930242047609
219.33606008185097,414.4733006098043
211.66585805952099,418.27475629821237
203.76999541522835,421.58208414962803
195.68026600104616,424.3819667220944
187.4292443021057,426.6631298766931
179.0501542706419,428.41638817452315
170.5767355448639,429.6346818632206
162.04310759134,430.3131053040902
153.4836323179483,430.44892672538106
144.93277571060125,430.0415992221667
136.4249690508851,429.0927629585392
127.99447027344114,427.6062385632461
119.67522602135416,425.5880117453678
111.50073495500189,423.0462091919793
103.50391286477284,419.9910658448497
95.71696013079583,416.4348836879442
88.17123206337412,412.3919822116761
80.8971126462176,407.8786407533737
73.92389219086392,402.91303294613374
67.2796493949322,397.5151535400156
60.99113827911745,391.70673789023976
55.08368045819233,385.511174436584
49.581063179801234,378.95341052639037
44.50544354160978,372.0598519604036
39.87725927249261,364.8582566659301
35.71514643701272,357.3776229254628
32.03586439456673,349.64807261083126
28.854228315359947,341.700729893056
26.183049524944693,333.56759591629645
24.033083917534043,325.281419940538
22.412988645812106,316.8755674718808
21.329287261635557,308.38388591142296
20.786343447992834,299.8405682637224
20.786343447992834,291.28001545363554
21.329287261635557,282.73669780593497
22.412988645812106,274.24501624547713
24.033083917534043,265.83916377682
26.183049524944693,257.5529878010615
28.854228315359933,249.41985382430192
32.03586439456673,241.47251110652667
35.715146437012706,233.7429607918952
39.87725927249262,226.2623270514278
44.505443541609765,219.0607317569544
49.58106317980125,212.1671731909675
55.08368045819232,205.60940928077397
60.991138279117465,199.4138458271181
67.27964939493218,193.60543017734238
73.92389219086395,188.2075507712242
80.89711264621756,183.24194296398423
88.1712320633742,178.72860150568175
95.71696013079585,174.68570002941374
103.50391286477284,171.12951787250822
111.50073495500186,168.07437452537866
119.67522602135422,165.53257197199014
127.99447027344117,163.51434515411182
136.4249690508851,162.02782075881873
144.93277571060122,161.07898449519118
153.48363231794835,160.6716569919769
162.04310759134003,160.80747841326772
170.57673554486388,161.48590185413735
179.05015427064185,162.70419554283478
187.42924430210573,164.45745384066478
195.68026600104616,166.73861699526356
203.76999541522832,169.53849956772987
211.66585805952104,172.84582741914556
219.336060081851,176.64728310755365
226.74971628582443,180.92755951259704
233.87697449451167,185.66942147188954
240.68913575462784,190.85377518093173
247.15876989708806,196.45974507712256
253.25982598861788,202.46475789828224
258.96773722966634,208.8446335772118
264.2595198762376,215.57368260628968
269.1138657873155,222.6248094800515
273.5112282252273,229.96962179922804
277.4339005634572,237.57854459691572
280.8660875849819,245.4209394265302
283.79396908403476,253.46522773201684
286.20575551519664,261.67901800355094
288.09173546573413,270.0292362067153
289.4443147600315,278.482258959963
290.2580470386548,287.00404892410853
290.52965568891995,295.5602918586789
